Parameter,Case 1,Case 2,Case3
xk1,0.0,0.0,0.0
xk1,-1.1705239907431833,0.6709527571464735,7.707114374973227
xk1,0.7086823740978048,11.190539505024443,32.81617137377692
xk1,5.298963975595028,46.54750787050246,82.71616022079394
xk1,9.019863696323307,136.09810179328917,163.5331860657349
xk1,-0.007284152718368563,0.0,0.0
xk2,0.0,0.0,0.0
xk2,-2.2354564014991247,0.18279282340508712,16.081360530937346
xk2,5.38415639881764,20.83914726681646,37.59820055060547
xk2,9.614406190072655,51.78010232424314,68.74135385615534
xk2,-0.907278053958698,147.5629783639837,103.80829483133031
xk2,0.01163819317765934,0.0,0.0
xk3,0.0,0.43915346690854007,0.0
xk3,-1.3711038984412276,18.528949371711683,19.38394266489362
xk3,8.994166468000765,24.43199791083195,24.995703729378718
xk3,1.743651276956929,51.18029480522792,51.02802601407923
xk3,-0.9775245669912935,85.86625273888993,85.62388392697721
xk3,19.992867619571552,0.0,0.0
uk,0.0,-3.4549896871336384e-14,12.097941461095413
uk,0.0,1.1360699009689306e-12,11.722703660549653
uk,0.0,5.650002004394187e-09,-1.899691577858496
uk,0.0,-0.6975331236133766,-5.485262652090691
uk,0.0,-2.455147077571407,-36.85741980581223
t1,1.8,1.651513388021265,1.0
t1,1.8,0.006695193063898613,1.0
t1,1.8,-1.6903840943201636,1.0165443796346436
t1,1.8,-0.6222369864285076,1.1931912327393825
t1,1.8,-1.6439659871733057,0.40797170702480934
t1,1.8,0.0,0.0
t2,-1.01,-3.3290055421986207,-0.6
t2,-1.01,-1.5733795094721073,-0.6
t2,-1.01,-5.569345524144724,-0.5954926873275491
t2,-1.01,-2.4213611428206,-0.2537787747031729
t2,-1.01,-12.772761920592623,-0.49548836992650086
t2,-1.01,0.0,0.0
t3,0.58,2.29119021202028,0.3
t3,0.58,0.03486018486276682,0.30478539600687343
t3,0.58,-0.797371799003284,0.35053887794659533
t3,0.58,-0.918105748410219,0.3687446289351429
t3,0.58,-2.9055544192436904,0.3596810092267162
t3,0.58,0.0,0.0
t4,0.3,9.223257918826065e-08,0.1
t4,0.3,-1.0578270583469501e-08,0.1
t4,0.3,-5.806156863098169e-06,0.11445294453587146
t4,0.3,49.99779328003307,0.11187180907614434
t4,0.3,49.99988012262071,0.13657407966211188
t4,0.3,0.0,0.0
t5,0.5,-6.75326006638835e-07,0.7
t5,0.5,2.5202621723448e-08,0.7
t5,0.5,-1.4837325954936066e-05,0.691328233278477
t5,0.5,49.996489312193894,0.6994950241171655
t5,0.5,10.902037815248521,0.6977360322122138
t5,0.5,0.0,0.0
t6,1,6.759332945410429e-07,1.5
t6,1,1.453346201076653e-08,2.777407182547381
t6,1,-1.0236486194915621e-06,2.7478421868913916
t6,1,-49.974298934614126,2.693976299433422
t6,1,-49.99868096983232,3.412047807482762
t6,1,0.0,0.0
